Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
"""missed my connecting flight""",5th August 2024,Solo Leisure,Economy Class,Rome to Philadelphia via London,August 2024,3.0,3.0,1.0,1,0
“time to change leadership team”,3rd August 2024,Business,Economy Class,London to Bologna,August 2024,3.0,1.0,1.0,1,0
"""avoid it at all cost!""",2nd August 2024,Business,Business Class,Sydney to London,August 2024,1.0,3.0,1.0,1,0
“Great customer service from BA”,2nd August 2024,Solo Leisure,Business Class,Dublin to London Heathrow,August 2024,3.0,5.0,5.0,4,1
"""Absolute worst travel experience""",30th July 2024,Couple Leisure,Economy Class,London to Los Angeles via Paris CDG,July 2024,1.0,1.0,1.0,1,0
"""one of the worst airlines""",30th July 2024,Business,Business Class,London Heathrow to Doha,July 2024,5.0,1.0,1.0,1,0
"""my travel pram confiscated from me""",28th July 2024,Family Leisure,Economy Class,Toulouse to London Heathrow,July 2024,1.0,1.0,1.0,1,0
“VERY uncomfortable seats”,19th July 2024,Couple Leisure,Economy Class,San Diego to London,July 2024,1.0,1.0,1.0,1,0
"""substandard business class experience""",16th July 2024,Family Leisure,Business Class,Singapore to London,July 2024,3.0,2.0,5.0,2,1
"""Customer Service is shocking""",15th July 2024,Solo Leisure,Economy Class,Glasgow to Munich via Heathrow,June 2024,3.0,4.0,2.0,3,0
"""left me extremely disappointed""",9th July 2024,Business,Economy Class,Berlin to São Paulo via London,March 2024,3.0,4.0,1.0,2,0
“customer service was awful”,5th July 2024,Couple Leisure,Economy Class,London to Corfu,September 2023,1.0,1.0,1.0,1,0
"""over 2 weeks to respond""",1st July 2024,Solo Leisure,Economy Class,Toronto to London,July 2024,,,,1,0
“wholly inadequate customer service”,30th June 2024,Couple Leisure,Economy Class,London Gatwick to Verona,June 2024,1.0,1.0,1.0,1,0
“the cabin crew were great”,26th June 2024,Business,Business Class,London Heathrow to Paris CDG,June 2024,4.0,5.0,1.0,3,1
"""cannot recommend BA""",23rd June 2024,Solo Leisure,Economy Class,London Heathrow to Vancouver,June 2024,2.0,2.0,2.0,1,0
“a very poor last impression of BA”,23rd June 2024,Solo Leisure,Business Class,Vancouver to London Heathrow,June 2024,3.0,3.0,1.0,2,0
"""happy to recommend BA""",18th June 2024,Couple Leisure,Business Class,Belfast to San Francisco via London,April 2024,5.0,5.0,5.0,4,1
"""cancelled our return flight""",18th June 2024,Couple Leisure,Economy Class,London Heathrow to Keflavik,June 2024,2.0,3.0,3.0,2,0
"""Very good experience all round""",17th June 2024,Solo Leisure,Business Class,New York JFK to London Heathrow,June 2024,5.0,5.0,1.0,2,1
"""inflight service was efficient and friendly""",17th June 2024,Solo Leisure,Premium Economy,London to newark,June 2024,4.0,4.0,4.0,3,1
“worst airline I’ve ever flown”,16th June 2024,Couple Leisure,Economy Class,Florence to Heathrow,June 2024,1.0,3.0,1.0,1,0
"""Cabin crew were great""",15th June 2024,Couple Leisure,Business Class,London to Manchester,June 2024,1.0,5.0,2.0,4,0
"""flight itself was quite good""",10th June 2024,Solo Leisure,Business Class,London to Amsterdam,May 2024,5.0,5.0,4.0,5,1
"""You expect better from BA""",9th June 2024,Couple Leisure,Premium Economy,Tokyo to Manchester via London,May 2024,1.0,,1.0,2,0
"“never fly British Airways""",6th June 2024,Business,Business Class,Heathrow to San Francisco,June 2024,1.0,1.0,1.0,1,0
“we will rethink BA moving forward”,3rd June 2024,Couple Leisure,Business Class,Tampa to Gatwick,May 2024,4.0,3.0,1.0,2,0
“extremely poor customer service”,1st June 2024,Family Leisure,Premium Economy,Los Angeles to London,January 2024,1.0,1.0,1.0,1,0
“a pleasant and civilized journey”,1st June 2024,Solo Leisure,Economy Class,Hannover to London Heathrow,May 2024,5.0,4.0,5.0,3,1
"""the worst BA flight we've experienced""",31st May 2024,Family Leisure,Economy Class,Austin to London Heathrow,May 2024,2.0,3.0,3.0,3,0
"""Never again British Airways""",31st May 2024,Business,Business Class,Vienna to Johannesburg via London,October 2023,1.0,2.0,1.0,3,0
"""only been offered half a glass of water""",30th May 2024,Couple Leisure,Economy Class,Johannesburg to Heathrow,May 2024,1.0,1.0,1.0,1,0
"""told by cabin crew I would be refunded""",29th May 2024,Solo Leisure,Economy Class,London Heathrow to Singapore,May 2024,2.0,1.0,1.0,1,0
