Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
"""My baggage never arrived""",12th March 2023,Business,Business Class,London to Dubai,December 2022,4.0,4.0,1.0,1,0
"""Total disruption, wasted time""",10th March 2023,Solo Leisure,Economy Class,Geneva to London,March 2023,2.0,3.0,1.0,2,0
"""what an absolute nightmare""",10th March 2023,Family Leisure,Economy Class,Prague to London,December 2022,1.0,,1.0,1,0
"""I detest British Airways""",10th March 2023,Business,Economy Class,Heathrow to Glasgow,March 2023,1.0,1.0,1.0,1,0
"""Clean aircraft, good crew, professional""",9th March 2023,Business,Economy Class,London Heathrow to Arlanda Stockholm,March 2023,5.0,5.0,5.0,5,1
"""this airline is horrible""",8th March 2023,Couple Leisure,Business Class,Portland to Tel Aviv via Heathrow,March 2023,,,,1,0
"""avoid flying British Airways""",6th March 2023,Solo Leisure,Business Class,Heathrow to Milan Malpensa,April 2022,,,1.0,1,0
"""had better treatment from Ryanair""",4th March 2023,Solo Leisure,Economy Class,London to Los Angeles,March 2023,1.0,2.0,3.0,1,0
"""Would happily fly them again""",2nd March 2023,Solo Leisure,Economy Class,New York to Istanbul via London,March 2023,5.0,5.0,5.0,5,1
"""one drink service on 10 hour flight""",2nd March 2023,Couple Leisure,Premium Economy,London Heathrow to Las Vegas,March 2023,3.0,2.0,2.0,3,0
"""squashed into regular seats""",28th February 2023,Business,Business Class,London to Cairo,January 2023,1.0,2.0,3.0,1,0
"""nice and professional crew""",27th February 2023,Solo Leisure,Economy Class,London Singapore,February 2023,3.0,5.0,5.0,4,1
"""acceptable experience, nothing more""",27th February 2023,Business,Business Class,London to Dubai,February 2023,2.0,3.0,4.0,3,1
"""FA's were very friendly""",27th February 2023,Business,Business Class,Brussels to London,February 2023,2.0,4.0,4.0,4,1
"""original flight was cancelled""",26th February 2023,Family Leisure,Economy Class,Lyon to London,February 2023,1.0,4.0,1.0,1,0
"""no better than a low cost airline""",26th February 2023,Family Leisure,Economy Class,London to Lyon,February 2023,1.0,4.0,1.0,1,0
"""they could not serve hot drinks""",23rd February 2023,Couple Leisure,Economy Class,Faro to Gatwick,February 2023,2.0,2.0,5.0,2,0
"""got virtually free tickets""",18th February 2023,Family Leisure,Economy Class,Oslo to London,February 2023,3.0,3.0,2.0,3,0
"""found the attitude appalling""",18th February 2023,Solo Leisure,Economy Class,London to Madrid,February 2023,2.0,1.0,1.0,2,0
"""crew were really nice""",16th February 2023,Couple Leisure,Economy Class,Islamabad to London,February 2023,4.0,5.0,4.0,5,1
"""Lots of cancellations and delays""",15th February 2023,Couple Leisure,Economy Class,Edinburgh to London,February 2023,3.0,2.0,1.0,1,0
"""Overall, very happy with BA""",7th February 2023,Couple Leisure,Business Class,Mexico City to London,February 2023,5.0,5.0,5.0,5,1
"""the best airline I've flown with""",6th February 2023,Solo Leisure,Economy Class,Palma to Gatwick,January 2023,5.0,5.0,5.0,5,1
"""so determined to help""",4th February 2023,Family Leisure,Economy Class,London to Madrid,February 2023,5.0,5.0,5.0,5,1
"""crew are a credit to BA""",31st January 2023,Business,Economy Class,London Heathrow to Glasgow,January 2023,5.0,5.0,5.0,5,1
"""catalogue of errors and inconveniences""",31st January 2023,Couple Leisure,Premium Economy,London to Buenos Aires,January 2023,3.0,1.0,4.0,1,0
"""the food was poor""",28th January 2023,Solo Leisure,Premium Economy,London to Vancouver,January 2023,4.0,4.0,4.0,1,0
"""No more BA for me""",28th January 2023,Solo Leisure,Economy Class,Faro to London,January 2023,1.0,2.0,4.0,3,0
"""Excellent service""",24th January 2023,Solo Leisure,First Class,Heathrow to Johannesburg,January 2023,4.0,5.0,5.0,4,1
"""Sound dinner service""",24th January 2023,Couple Leisure,Business Class,Cape Town to London,January 2023,4.0,5.0,4.0,4,1
"""A really excellent journey""",23rd January 2023,Couple Leisure,Business Class,London to Male,January 2023,5.0,5.0,5.0,4,1
"""flight was one of the worst""",21st January 2023,Solo Leisure,Business Class,London to Vienna,December 2022,3.0,2.0,1.0,1,0
"""there is a race to the bottom""",19th January 2023,Couple Leisure,Economy Class,Johannesburg to Los Angeles via London,January 2023,2.0,2.0,1.0,2,0
"""need to cancel the ticket and rebook""",19th January 2023,Solo Leisure,Economy Class,London Gatwick to Alicante,January 2023,,,,1,0
"""very friendly cabin crew""",18th January 2023,Family Leisure,Economy Class,London to Tel Aviv,December 2022,4.0,5.0,4.0,5,1
"""a good drinks and food service""",17th January 2023,Couple Leisure,Business Class,London Heathrow to Cape Town,January 2023,3.0,5.0,4.0,4,1
"""you should let me use the lounge""",17th January 2023,Solo Leisure,Economy Class,Gatwick to Dublin,January 2023,3.0,5.0,1.0,1,0
"""I find BA incredibly tacky""",16th January 2023,Solo Leisure,Premium Economy,London Heathrow to Athens Greece,April 2022,3.0,4.0,3.0,1,0
"""This flight was so disappointing""",9th January 2023,Family Leisure,Economy Class,Atlanta to London,January 2023,1.0,1.0,1.0,2,0
"""just an average airline""",8th January 2023,Family Leisure,Economy Class,London to Chicago,December 2022,3.0,2.0,3.0,2,0
"""Luggage is delayed""",6th January 2023,Family Leisure,Economy Class,Istanbul to Vancouver via Heathrow,January 2023,1.0,5.0,1.0,1,0
"""the worst business class experience I've ever had""",2nd January 2023,Family Leisure,Business Class,Vienna to Los Angeles via London Heathrow,January 2023,1.0,2.0,1.0,1,0
"""not recommended for business class""",2nd January 2023,Business,Business Class,London to San francisco,January 2023,2.0,5.0,2.0,1,0
"""surprisingly a good product""",2nd January 2023,Business,Economy Class,London to Belfast,January 2023,4.0,5.0,5.0,4,1
"""Maybe the old charm will return soon""",1st January 2023,Business,Economy Class,Doha to London,December 2022,5.0,3.0,5.0,4,0
"""having to pay to reserve a specific seat""",30th December 2022,Couple Leisure,Business Class,London to Barbados,December 2022,3.0,4.0,4.0,3,0
"""Upgrade was worth it""",29th December 2022,Solo Leisure,Premium Economy,London Gatwick to Cape Town,December 2022,3.0,4.0,2.0,3,0
"""Disappointing meal""",29th December 2022,Solo Leisure,Business Class,Cape Town to London,December 2022,4.0,3.0,1.0,2,0
"""minimal communication from their team""",29th December 2022,Solo Leisure,Economy Class,London Heathrow to Frankfurt,December 2022,3.0,3.0,1.0,1,0
"""felt misguided and misinformed""",28th December 2022,Family Leisure,Economy Class,Vancouver to Delhi via London,December 2022,,,,1,0
"""Flight perfectly on time""",24th December 2022,Couple Leisure,Economy Class,Marseille to London,December 2022,3.0,3.0,4.0,5,1
"""treat your customers like idiots""",22nd December 2022,Couple Leisure,First Class,London to Male,December 2022,2.0,2.0,3.0,1,0
"""cancelled only 4 hours before take off""",20th December 2022,Solo Leisure,Economy Class,Keflavik to London Heathrow,December 2022,2.0,3.0,1.0,1,0
"""have to use other airlines now""",19th December 2022,Business,Business Class,London Heathrow to Frankfurt,October 2022,3.0,4.0,1.0,1,0
"""my suitcase didn’t arrive with me""",19th December 2022,Solo Leisure,Economy Class,London Heathrow to Bangkok via Doha,December 2022,2.0,2.0,1.0,1,0
"""Cabin crew - Treated passengers as an inconvenience""",19th December 2022,Couple Leisure,Premium Economy,London Gatwick to Cancun,November 2022,4.0,1.0,1.0,1,0
"""luggage was finally delivered on Thursday""",17th December 2022,Solo Leisure,Premium Economy,London to Phoenix,December 2022,3.0,5.0,1.0,4,0
"""improvements needed with their ground staff2",14th December 2022,Business,Business Class,London to Rome,December 2022,4.0,4.0,1.0,4,1
"""appallingly uncomfortable flights""",12th December 2022,Couple Leisure,Business Class,Barbados to London Heathrow,December 2022,1.0,1.0,1.0,1,0
"""Cabin crew very good""",12th December 2022,Solo Leisure,Economy Class,Doha to  Gatwick,November 2022,2.0,5.0,3.0,5,1
"""late and delayed""",10th December 2022,Business,Business Class,Glasgow to London,December 2022,5.0,5.0,5.0,3,0
"""learned my lesson about late BA upgrades""",10th December 2022,Couple Leisure,Premium Economy,London to Boston,December 2022,3.0,4.0,3.0,3,1
"""No curtain between business and economy class""",9th December 2022,Solo Leisure,Business Class,London to Prague,November 2022,2.0,1.0,2.0,1,0
"""electronics are very poor""",9th December 2022,Business,Business Class,London to Larnaca,December 2022,1.0,,2.0,3,0
"""couldn't even order any food / drink""",8th December 2022,Family Leisure,Economy Class,Cairo to London,December 2022,3.0,2.0,3.0,2,0
"""My bag never showed up""",3rd December 2022,Business,Economy Class,Denver to London,December 2022,1.0,1.0,1.0,1,0
"""eventually make good on their promise""",30th November 2022,Solo Leisure,Business Class,London to Marrakech,June 2022,3.0,5.0,4.0,3,1
"""Extremely sub-par service""",28th November 2022,Solo Leisure,Economy Class,San Francisco to London,November 2022,2.0,1.0,3.0,2,0
"""the service was excellent""",26th November 2022,Solo Leisure,Business Class,London to Lisbon,November 2022,3.0,4.0,3.0,3,1
"""I thoroughly enjoyed my flight""",25th November 2022,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,January 2022,4.0,4.0,4.0,4,1
"""wouldn't let me check-in until 24 hours before""",23rd November 2022,Solo Leisure,Economy Class,Miami to Budapest via London,November 2022,2.0,3.0,1.0,1,0
"""Will honestly never fly them again if I can help it""",19th November 2022,Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),November 2022,3.0,2.0,4.0,2,0
"""Very unprofessional for a renowned airline like BA""",19th November 2022,Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,August 2022,1.0,1.0,1.0,1,0
"""lounge was overcrowded and worn out""",18th November 2022,Solo Leisure,Business Class,London to Cape Town,November 2022,4.0,2.0,1.0,1,0
"""very uncomfortable trip""",7th November 2022,Solo Leisure,Economy Class,Milan to Dallas via London,November 2022,2.0,5.0,2.0,1,0
"""rate this just as a mediocre journey""",7th November 2022,Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022,1.0,3.0,2.0,3,1
"""baggage yet to be delivered after 5 weeks""",5th November 2022,Couple Leisure,Business Class,Dubai to Belfast via London,October 2022,3.0,3.0,1.0,1,0
"""misplaced our luggage during our wedding trip""",31st October 2022,Couple Leisure,Economy Class,Dallas to Bologna via London,July 2022,5.0,5.0,1.0,1,0
"""zero faith in British Airways""",31st October 2022,Solo Leisure,Economy Class,San Francisco to London,October 2022,,,1.0,1,0
"""under whelmed by the experience""",31st October 2022,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2022,2.0,1.0,3.0,3,0
"""about as abysmal as you can get""",30th October 2022,Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022,3.0,1.0,1.0,1,0
"""has returned to full service""",30th October 2022,Solo Leisure,Business Class,London to Los Angeles,October 2022,5.0,4.0,3.0,5,1
"""this flight was quite good""",30th October 2022,Solo Leisure,Business Class,Copenhagen to Heathrow,October 2022,3.0,5.0,4.0,5,1
"""no attempt to provide fresh or hot foo""",25th October 2022,Family Leisure,Economy Class,Larnaca to London,October 2022,1.0,2.0,2.0,2,0
"""A very positive experience""",24th October 2022,Couple Leisure,Business Class,Atlanta to London,October 2022,5.0,4.0,5.0,4,1
"""Baggage took 3/4 hour to be delivered""",23rd October 2022,Solo Leisure,Business Class,Madrid to San Francisco via London,September 2022,3.0,1.0,3.0,1,0
"""cabin crew were very pleasant and helpful""",22nd October 2022,Solo Leisure,Economy Class,London to Washington,October 2022,3.0,5.0,2.0,5,1
"""Very rude and unhelpful staff""",22nd October 2022,Couple Leisure,Economy Class,London to San Francisco,October 2022,1.0,1.0,1.0,1,0
"""cabin crew were very helping""",21st October 2022,Solo Leisure,Economy Class,London to Delhi,October 2022,2.0,2.0,4.0,1,0
"""All in all BA was just fine""",17th October 2022,Couple Leisure,Economy Class,London to Los Angeles,October 2022,3.0,4.0,4.0,4,1
"""recommend BA's new Club Class""",17th October 2022,Couple Leisure,Business Class,Miami to London Heathrow,October 2022,5.0,5.0,4.0,3,1
"""Would recommend""",17th October 2022,Solo Leisure,Business Class,Dubai to London,October 2022,4.0,4.0,4.0,3,1
"""hit the  call button, no response for an hour""",16th October 2022,Couple Leisure,Economy Class,London to Cairo,October 2022,1.0,1.0,4.0,1,0
"""She was attentive, warm, friendly""",15th October 2022,Solo Leisure,Business Class,Orlando to London Gatwick,October 2022,5.0,5.0,5.0,4,1
"""cramped single aisle aircraft""",14th October 2022,Business,Economy Class,London to Cairo,October 2022,2.0,4.0,3.0,1,0
"""it was an OK experience""",6th October 2022,Couple Leisure,Economy Class,Dallas to London,September 2022,2.0,4.0,4.0,3,1
"""wait for cases at Heathrow T5""",1st October 2022,Couple Leisure,Business Class,Jersey to London Heathrow,September 2022,4.0,4.0,3.0,4,1
"""cabin crew are usually exceptional""",1st October 2022,Couple Leisure,Business Class,London Heathrow to Jersey,September 2022,4.0,5.0,3.0,4,1
"""I still found it underwhelming""",25th September 2022,Solo Leisure,Business Class,Istanbul to London Heathrow,September 2022,1.0,3.0,3.0,2,0
"""At least the food tasted good""",25th September 2022,Solo Leisure,Business Class,London Heathrow to New York JFK,September 2022,5.0,4.0,5.0,5,1
"""I will never travel BA again""",24th September 2022,Business,Economy Class,Gothenburg to Jersey via London,June 2022,2.0,2.0,1.0,1,0
"""Couldn’t fault anything""",23rd September 2022,Solo Leisure,Premium Economy,Heathrow to Mexico City,September 2022,5.0,5.0,5.0,5,1
"""personnel was just magnificent""",20th September 2022,Solo Leisure,Economy Class,London to Tampa,September 2022,5.0,5.0,5.0,5,1
"""Should be more snacks on board""",16th September 2022,Solo Leisure,Economy Class,Sydney to London via Singapore,September 2022,1.0,3.0,4.0,2,1
"""Crew were friendly""",14th September 2022,Couple Leisure,Economy Class,London to Lisbon,September 2022,4.0,5.0,3.0,3,1
"""very short leg space""",11th September 2022,Business,Business Class,London to Istanbul,September 2022,1.0,1.0,1.0,1,0
"""staff were no help and frankly rude""",10th September 2022,Couple Leisure,Economy Class,London to Manchester,September 2022,4.0,1.0,1.0,1,0
"""Flight was cancelled at the last minute""",7th September 2022,Family Leisure,Economy Class,London to Rome,August 2022,4.0,4.0,1.0,2,0
"""I have to write a positive review""",7th September 2022,Couple Leisure,Business Class,London Gatwick to Malaga,September 2022,3.0,5.0,4.0,3,1
"""review is for BA booking system""",6th September 2022,Business,Economy Class,Heathrow to Tenerife,November 2021,,,,1,0
"""I will not be flying BA again""",31st August 2022,Couple Leisure,Economy Class,Manchester to Seattle via London,August 2022,3.0,2.0,4.0,3,0
"""not been recompensed for our expenses""",28th August 2022,Couple Leisure,Premium Economy,San Francisco to London,April 2022,2.0,1.0,1.0,1,0
"""she went above and beyond""",23rd August 2022,Couple Leisure,Economy Class,Berlin to London City,August 2022,3.0,5.0,2.0,4,1
"""Hard working crew""",23rd August 2022,Couple Leisure,Economy Class,Tel Aviv to London,August 2022,5.0,5.0,3.0,4,1
"""Philippines Airlines require a 24 hr negative covid test""",22nd August 2022,Solo Leisure,Business Class,London to Manila via Singapore,June 2022,1.0,1.0,1.0,1,0
"""not worth the risk of travelling with BA""",21st August 2022,Solo Leisure,Economy Class,London to Barcelona,June 2022,1.0,2.0,1.0,1,0
"""cancelled my return flight""",20th August 2022,Business,Business Class,Los Angeles to Thessaloniki via London,June 2022,2.0,2.0,1.0,1,0
"""staff were so friendly""",15th August 2022,Couple Leisure,Economy Class,Boston to Dublin via London,August 2022,5.0,5.0,5.0,5,1
"""amazing at her job""",10th August 2022,Couple Leisure,Economy Class,London to New York,July 2022,5.0,5.0,5.0,3,1
"""no food available for the 4 year old""",4th August 2022,Family Leisure,Economy Class,Cape Town to London Heathrow,August 2022,2.0,1.0,4.0,3,0
"""We had a nice flight""",31st July 2022,Couple Leisure,Premium Economy,Dallas Ft Worth to London,May 2022,3.0,5.0,4.0,4,1
"""2 suitcases lost in 2 flights""",30th July 2022,Family Leisure,Economy Class,London to Amsterdam,July 2022,1.0,1.0,1.0,1,0
"""Some things just do not change at BA""",27th July 2022,Solo Leisure,Business Class,London to Marrakesh,June 2022,1.0,1.0,1.0,1,0
"""I have not received my refund""",27th July 2022,Solo Leisure,Economy Class,Accra to London,November 2021,,,1.0,1,0
"""has taken a nosedive in my opinion""",27th July 2022,Solo Leisure,Economy Class,Nairobi to New York via London,July 2022,3.0,5.0,3.0,1,0
"""A good flight overall""",23rd July 2022,Family Leisure,Business Class,San Francisco to London,July 2022,4.0,5.0,4.0,4,1
"""managed to lose my luggage""",22nd July 2022,Solo Leisure,Economy Class,London to Amman,May 2022,1.0,1.0,1.0,1,0
"""get us on a flight 5 days later""",22nd July 2022,Family Leisure,Economy Class,Edinburgh to Washington via London,July 2022,2.0,2.0,1.0,1,0
"""refund process is non responsive""",20th July 2022,Couple Leisure,Economy Class,Vancouver to Amsterdam via London,June 2022,5.0,5.0,1.0,1,0
"""Seat was very uncomfortable""",18th July 2022,Couple Leisure,Economy Class,Sao Paulo to Heathrow,July 2022,1.0,2.0,3.0,3,1
"""let down by chaotic check-in and boarding""",18th July 2022,Couple Leisure,Economy Class,London to Reykjavik,May 2022,3.0,4.0,1.0,4,1
"""Crew were attentive and charming""",17th July 2022,Business,Economy Class,Belfast to London,July 2022,4.0,5.0,2.0,4,1
"""become an absolute nightmare""",13th July 2022,,Business Class,London to Malaga,July 2022,,,,1,0
"""wonderful BA representative""",12th July 2022,Couple Leisure,Business Class,London to Toronto,July 2022,5.0,5.0,5.0,5,1
"""Overall a good flight""",9th July 2022,Family Leisure,Business Class,London to Los Angeles,July 2022,4.0,4.0,5.0,4,1
"""disappointed and angry""",7th July 2022,Family Leisure,Economy Class,Washington to London,July 2022,1.0,1.0,1.0,1,0
"""lack of practical assistance""",6th July 2022,Solo Leisure,Premium Economy,Nairobi to New York via London,July 2022,1.0,1.0,1.0,1,0
"""they have no idea where our bags are""",6th July 2022,Couple Leisure,Business Class,Dublin to London City,July 2022,4.0,4.0,1.0,1,0
"""Limited TV and movie selections""",4th July 2022,Solo Leisure,Premium Economy,Venice to Baltimore via London Heathrow,July 2022,3.0,3.0,1.0,2,0
"""seat reservation fees are non refundable""",4th July 2022,Couple Leisure,Premium Economy,London to Nairobi,June 2022,,,,1,0
"""cabin crew seemed to really struggle with service""",30th June 2022,Couple Leisure,Economy Class,London Heathrow to Johannesburg,June 2022,1.0,3.0,2.0,4,0
"""Overall not happy at all""",30th June 2022,Family Leisure,Economy Class,Belfast to London,June 2022,,,1.0,1,0
"""do not allow free seat selection",29th June 2022,Family Leisure,Business Class,,June 2022,2.0,2.0,1.0,1,0
"""Really not fair to just take our money!""",28th June 2022,Couple Leisure,Economy Class,London to Paris,July 2021,1.0,1.0,1.0,1,0
"""Trying to call BA was a nightmare""",27th June 2022,Business,Business Class,Miami to Paris,June 2022,3.0,4.0,3.0,1,0
"""flight was delayed over 6 hours""",27th June 2022,Family Leisure,Economy Class,Edmonton to Cairo,June 2022,2.0,2.0,1.0,2,0
"""No respect with the customer!""",27th June 2022,Couple Leisure,Premium Economy,Amsterdam to Montreal via London,June 2022,2.0,2.0,2.0,2,0
"""BA cancelled my flight, I never got on it""",25th June 2022,Solo Leisure,Economy Class,Hong Kong to London,April 2022,,,,1,0
"""think twice to take BA in the future""",25th June 2022,Family Leisure,Economy Class,Belfast to London,June 2022,3.0,1.0,1.0,1,0
"""I guess BA has selected the lowest budget option""",24th June 2022,Business,Economy Class,London to Johannesburg,June 2022,1.0,4.0,3.0,2,0
"""Good old times of being a glamour flying BA has far gone""",23rd June 2022,Couple Leisure,Economy Class,Paris CDG to London Heathrow,June 2022,1.0,4.0,2.0,1,0
"""food choice and quality was poor""",23rd June 2022,Couple Leisure,Business Class,Portland to London,June 2022,2.0,4.0,4.0,2,0
"""BA standards continue to slip""",22nd June 2022,Business,Business Class,London to Malaga,June 2022,3.0,2.0,2.0,3,0
"""Right now do not use British Airways""",20th June 2022,Couple Leisure,Economy Class,Boston to Edinburgh via Heathrow,June 2022,1.0,4.0,1.0,1,0
"""never use this company again""",19th June 2022,Couple Leisure,Economy Class,Edmonton to Santorini via Toronto / London,June 2022,1.0,1.0,1.0,1,0
"""a fairly disappointing experience""",18th June 2022,Solo Leisure,Economy Class,Vancouver to London,June 2022,1.0,2.0,2.0,3,0
"""Club Suite seats a huge improvement""",17th June 2022,Couple Leisure,Business Class,London to san Francisco,June 2022,4.0,4.0,2.0,4,1
"""had to hand in my hand luggage""",16th June 2022,Business,Economy Class,London to Amsterdam,June 2022,2.0,2.0,2.0,1,0
"""BA are putting the 'economy' back in premium economy""",15th June 2022,Couple Leisure,Premium Economy,Cancun to London Gatwick,June 2022,4.0,3.0,3.0,3,0
"""no information where my luggage is""",13th June 2022,Couple Leisure,Economy Class,Phoenix to Hamburg via London,June 2022,2.0,2.0,1.0,1,0
"""This airline is a complete disaster""",11th June 2022,Family Leisure,Business Class,Dallas Fort-Worth to Toulouse via London,June 2022,1.0,1.0,1.0,1,0
"""the nicest crew I've ever had""",8th June 2022,Couple Leisure,Business Class,London to Thira,June 2022,5.0,5.0,5.0,5,1
"""she went above and beyond""",6th June 2022,Family Leisure,Economy Class,Islamabad to Manchester via Gatwick,April 2022,5.0,5.0,5.0,4,1
"""crew made the flight outstanding""",3rd June 2022,Solo Leisure,Business Class,Vancouver to London,June 2022,4.0,5.0,2.0,5,1
"""Overall it was a great flight""",2nd June 2022,Business,Economy Class,London to Boston,May 2022,4.0,5.0,5.0,3,1
"""provide a hassle free flight to my son""",2nd June 2022,Solo Leisure,Economy Class,Johannesburg to Toronto via London,May 2022,4.0,4.0,4.0,3,1
"""finally agreed to refund my baggage charge""",1st June 2022,Couple Leisure,Economy Class,Zurich to London,February 2022,,,1.0,1,0
"""Crew were good but lacked the personal touch""",30th May 2022,Couple Leisure,Business Class,Johannesburg to London Heathrow,April 2022,4.0,4.0,3.0,3,1
"""do not recommend this airline""",30th May 2022,Couple Leisure,Business Class,Miami to Zurich via London,May 2022,4.0,3.0,1.0,1,0
"""I will never use them again""",30th May 2022,Family Leisure,Economy Class,Bridgetown to London,May 2022,1.0,5.0,3.0,1,0
"""they should be ashamed""",27th May 2022,Family Leisure,Business Class,London to Malaga,May 2022,,,,2,0
"""economy style with an unsold middle seat""",24th May 2022,Couple Leisure,Business Class,Dubrovnik to London,May 2022,2.0,2.0,4.0,1,0
"""Amsterdam is the worst airport I have experienced""",23rd May 2022,Couple Leisure,Economy Class,Amsterdam to London,May 2022,2.0,1.0,1.0,1,0
"""They actually give me a voucher""",19th May 2022,Business,Economy Class,Columbus to Nairobi via Chicago / London,May 2022,,,,1,0
"""battling a long overdue refund""",18th May 2022,Solo Leisure,Economy Class,London to Geneva,March 2022,,,,1,0
"""I will never fly with them again""",18th May 2022,Solo Leisure,Business Class,London to Mauritius,March 2022,,,1.0,1,0
"""one excuse after another with BA these days""",18th May 2022,Solo Leisure,Economy Class,London Heathrow to Malaga,May 2022,3.0,2.0,1.0,3,0
"""Cancelled connection flight""",11th May 2022,Solo Leisure,Economy Class,Basel to Johannesburg via London,May 2022,1.0,2.0,1.0,2,0
"""no cabin divider in the aircraft""",11th May 2022,Couple Leisure,Business Class,Athens to London,May 2022,2.0,4.0,3.0,2,0
"""worth the extra money for Premium Economy""",9th May 2022,Solo Leisure,Premium Economy,London to Mexico City,April 2022,5.0,4.0,4.0,4,1
"""decline in customer service""",8th May 2022,Business,Economy Class,Glasgow to New York,May 2022,3.0,4.0,1.0,1,0
"""I’m extremely frustrated""",5th May 2022,Solo Leisure,Economy Class,London Heathrow to Los Angeles,May 2022,1.0,5.0,4.0,1,0
"""Staff very friendly and professional""",4th May 2022,Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,May 2022,5.0,5.0,5.0,5,1
"""upgrade had been given away to someone else""",4th May 2022,Solo Leisure,Economy Class,Los Angeles to London,May 2022,,,,1,0
"""discrepancy with the baggage allowance""",29th April 2022,Solo Leisure,Economy Class,London to Cape Town,April 2022,2.0,1.0,1.0,1,0
"""thank you for the great service""",29th April 2022,Solo Leisure,Economy Class,São Paulo to Milan via London,April 2022,5.0,5.0,5.0,5,1
"""food was first class, nothing was too much for the staff""",28th April 2022,Family Leisure,Business Class,Madrid to London Heathrow,April 2022,3.0,5.0,5.0,4,1
"""Overall a very pleasant trip""",27th April 2022,Couple Leisure,Business Class,Dubrovnik to London Heathrow,April 2022,4.0,5.0,5.0,5,1
"""have lost all patience with this airline""",24th April 2022,Business,Business Class,London to Aberdeen,April 2022,1.0,2.0,3.0,1,0
"""BA have no intention of resolving this""",23rd April 2022,Solo Leisure,Business Class,Pisa to London Heathrow,March 2022,1.0,1.0,1.0,1,0
"""absolutely shocking service""",20th April 2022,Couple Leisure,Economy Class,Johannesburg to Durban,April 2022,1.0,1.0,1.0,1,0
"""was a really bad experience""",20th April 2022,Couple Leisure,Economy Class,Gothenburg to Manchester via London,April 2022,3.0,3.0,1.0,1,0
"""lots of space and privacy, very good seat""",20th April 2022,Solo Leisure,Business Class,Chicago to London,March 2022,5.0,5.0,3.0,4,1
"""been an appalling experience""",16th April 2022,Couple Leisure,Economy Class,Riyadh to Nice via London,April 2022,2.0,3.0,1.0,2,0
"""such terrible customer service""",15th April 2022,Couple Leisure,Business Class,London to Glasgow,April 2022,,,,1,0
"""The service was very good""",14th April 2022,Family Leisure,Economy Class,Glasgow to Washington via London,April 2022,4.0,5.0,4.0,3,1
"""BA is becoming more and more shambolic""",12th April 2022,Business,Business Class,Malaga to London,April 2022,2.0,4.0,2.0,2,0
"""Shout out to the help desk at Heathrow""",12th April 2022,Couple Leisure,Economy Class,Nice to Dallas via London,April 2022,5.0,5.0,5.0,4,1
"""watched their decline with great sadness""",11th April 2022,Solo Leisure,Economy Class,London to Paris,March 2022,1.0,1.0,1.0,3,0
"""disgraceful that a full fare paying passenger should be treated like this""",8th April 2022,Couple Leisure,Business Class,Phoenix to Paris via London,April 2022,3.0,2.0,2.0,2,0
"""Generally a positive experience""",7th April 2022,Business,Business Class,Phoenix to London Heathrow,April 2022,5.0,5.0,4.0,5,1
"""most terrible airline I’ve dealt with""",7th April 2022,Couple Leisure,Economy Class,Santorini to Los Angeles via London,April 2022,1.0,1.0,1.0,1,0
"""caused our family extreme stress and disappointment""",6th April 2022,Family Leisure,Business Class,London to Tokyo,June 2022,,,,1,0
"""a virtually flawless experience""",6th April 2022,Solo Leisure,Business Class,Edinburgh to London City,April 2022,5.0,5.0,5.0,4,1
"""New Club Suites are amazing""",6th April 2022,Solo Leisure,Business Class,Vancouver to London,March 2022,4.0,4.0,2.0,5,1
"""Service was good but food not so""",4th April 2022,Couple Leisure,Business Class,London to Venice,March 2022,2.0,4.0,2.0,3,1
"""still no refunds 3 months on""",4th April 2022,Business,Business Class,London to Barcelona,April 2022,1.0,1.0,1.0,1,0
"""old Club Class a huge disappointment""",4th April 2022,Couple Leisure,Business Class,Barbados to Heathrow,March 2022,2.0,3.0,4.0,3,1
"""Spent an hour checking in""",4th April 2022,Business,Economy Class,Heathrow to Bologna,April 2022,1.0,1.0,1.0,1,0
"""Onboard 10/10, getting to be onboard 1/10""",3rd April 2022,Business,Business Class,Geneva to London,April 2022,4.0,5.0,1.0,4,0
"""Food and service appalling""",3rd April 2022,Solo Leisure,Economy Class,London to Singapore,April 2022,1.0,1.0,1.0,1,0
"""stop nickel and diming""",2nd April 2022,Couple Leisure,Business Class,London to Barbados,March 2022,4.0,5.0,4.0,4,1
"""you can and need to do better than this""",2nd April 2022,Couple Leisure,Business Class,Cape Town to London Heathrow,March 2022,3.0,3.0,3.0,1,0
"""the limited food served was bland""",31st March 2022,Couple Leisure,Economy Class,Sydney to Heathrow,March 2022,3.0,1.0,2.0,4,0
"""Complete and utter chaos""",31st March 2022,Business,Business Class,London to Malaga,March 2022,2.0,1.0,1.0,1,0
"""There is no customer support""",30th March 2022,Couple Leisure,Economy Class,Austin to London via Dublin,March 2022,2.0,1.0,1.0,1,0
